group,hwp,r_ap,x_o_ref,y_o_ref,x_e_ref,y_e_ref,flux_o,flux_e,sky_o,sky_e,q,u,P,theta
1,67.5,5,205.0832078119074,217.07762876646203,236.85537961098314,221.33608859343525,11992.511893068633,12289.186702691482,-44.82533009514039,-45.12206490209861,,,,
2,45.0,5,204.585075566411,217.86599151951842,236.2678407505503,222.07698258412987,11927.518150581716,11988.004057309421,-45.412676413578374,-45.6699846460868,,,,
3,22.5,5,204.49744130118125,218.45825521199959,236.14196634981963,222.6842567126727,10390.742677016035,12123.639142152071,-45.41331148402921,-45.632813779684795,,,,
4,0.0,5,204.01686084836223,219.04682075230082,235.773252077105,223.2273835693166,1807.0907692954877,11745.617793965708,-45.37123952501718,-45.607240020172796,,,,
RESULT,-1.0,5,,,,,,,,,-0.4355096096149138,-0.03243976673865403,0.4367161074805839,-87.8700405128529
1,67.5,6,205.0832078119074,217.07762876646203,236.85537961098314,221.33608859343525,12081.242078453437,12387.758180420526,-44.82533009514039,-45.12206490209861,,,,
2,45.0,6,204.585075566411,217.86599151951842,236.2678407505503,222.07698258412987,12187.124970028532,12085.584650882069,-45.412676413578374,-45.6699846460868,,,,
3,22.5,6,204.49744130118125,218.45825521199959,236.14196634981963,222.6842567126727,12129.514277711052,12249.407086536386,-45.41331148402921,-45.632813779684795,,,,
4,0.0,6,204.01686084836223,219.04682075230082,235.773252077105,223.2273835693166,7883.715009917723,12171.809703774645,-45.37123952501718,-45.607240020172796,,,,
RESULT,-1.0,6,,,,,,,,,-0.11022285656449453,0.003804701026704293,0.11028850284204487,89.01151721448282
1,67.5,8,205.0832078119074,217.07762876646203,236.85537961098314,221.33608859343525,12185.188419656557,12515.824807505427,-44.82533009514039,-45.12206490209861,,,,
2,45.0,8,204.585075566411,217.86599151951842,236.2678407505503,222.07698258412987,12339.682791270845,12223.804007829367,-45.412676413578374,-45.6699846460868,,,,
3,22.5,8,204.49744130118125,218.45825521199959,236.14196634981963,222.6842567126727,12463.860830000827,12406.789366349534,-45.41331148402921,-45.632813779684795,,,,
4,0.0,8,204.01686084836223,219.04682075230082,235.773252077105,223.2273835693166,11849.052718224117,12392.005610587128,-45.37123952501718,-45.607240020172796,,,,
RESULT,-1.0,8,,,,,,,,,-0.013558855107227041,0.007840376594568254,0.01566250481128196,74.98072566304857
1,67.5,10,205.0832078119074,217.07762876646203,236.85537961098314,221.33608859343525,12224.185440985237,12602.434751654826,-44.82533009514039,-45.12206490209861,,,,
2,45.0,10,204.585075566411,217.86599151951842,236.2678407505503,222.07698258412987,12390.281421874872,12291.778635575989,-45.412676413578374,-45.6699846460868,,,,
3,22.5,10,204.49744130118125,218.45825521199959,236.14196634981963,222.6842567126727,12540.393958152814,12483.07354664056,-45.41331148402921,-45.632813779684795,,,,
4,0.0,10,204.01686084836223,219.04682075230082,235.773252077105,223.2273835693166,12016.804095632022,12494.631236957197,-45.37123952501718,-45.607240020172796,,,,
RESULT,-1.0,10,,,,,,,,,-0.01174316345469423,0.0087635175053405,0.014652683269288104,71.63364513149307
1,67.5,12,205.0832078119074,217.07762876646203,236.85537961098314,221.33608859343525,12229.665046878066,12658.709820338401,-44.82533009514039,-45.12206490209861,,,,
2,45.0,12,204.585075566411,217.86599151951842,236.2678407505503,222.07698258412987,12401.872679134038,12316.111191160278,-45.412676413578374,-45.6699846460868,,,,
3,22.5,12,204.49744130118125,218.45825521199959,236.14196634981963,222.6842567126727,12564.633788791314,12507.528675502657,-45.41331148402921,-45.632813779684795,,,,
4,0.0,12,204.01686084836223,219.04682075230082,235.773252077105,223.2273835693166,12062.24074494074,12542.348418140526,-45.37123952501718,-45.607240020172796,,,,
RESULT,-1.0,12,,,,,,,,,-0.011492004950213361,0.009758742269230734,0.015076446147981924,69.83143088095316
