2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks
J00001440-7652248,13.177,0.605,5.43,12.490,0.503,12.206,0.401,g0000144-765225,1,p,0.00399,-76.87364,15941,0.465,0.363,0.261,2.940,3.266,3.489,2.137,2.2,,,,,4.2758,0.1176,1,1,1
J00002213-0137463,12.625,0.312,4.52,11.896,0.278,11.741,0.201,g0000222-013746,1,p,0.00615,-1.62947,11123,0.024,-0.010,-0.087,3.708,3.921,4.067,2.338,2.5,,,,,6.4318,0.0385,1,1,1
J00002348-0656103,12.595,0.638,6.00,11.857,0.665,11.869,0.428,g0000235-065610,1,p,0.00652,-6.93619,10920,0.343,0.370,0.133,3.067,3.161,3.562,2.219,3.7,,,,,6.2142,0.0448,1,1,1
J00002509-2602401,12.495,0.538,3.59,11.781,0.505,11.553,0.477,g0000251-260240,1,p,0.00697,-26.04450,14926,0.371,0.338,0.310,3.328,3.531,3.592,2.369,2.3,,,,,3.2827,0.1434,1,1,1
J00003564-0145472,12.242,0.800,3.24,11.605,0.770,11.281,0.804,g0000356-014547,1,p,0.00990,-1.76317,6956,0.316,0.286,0.320,2.859,3.029,3.040,2.144,3.0,,,,,3.8994,0.1036,1,1,1
J00003574-4034323,13.443,0.493,2.22,12.849,0.426,12.442,0.436,g0000358-403432,1,p,0.00993,-40.57561,14746,0.322,0.255,0.265,3.035,3.260,3.318,2.189,2.8,,,,,1.7626,0.4926,1,1,1
J00004283-7217148,12.942,0.544,3.89,12.187,0.559,11.898,0.600,g0000428-721715,1,p,0.01189,-72.28741,10366,0.227,0.242,0.283,3.112,3.238,3.205,2.209,3.0,,,,,12.0403,0.0104,1,1,1
J00004596-8158024,12.958,0.446,3.43,12.276,0.381,11.809,0.407,g0000459-815803,1,p,0.01275,-81.96741,12646,0.211,0.146,0.172,3.354,3.595,3.645,2.336,3.0,,,,,8.6686,0.0311,1,1,1
J00004816-5511192,13.018,0.660,0.82,12.218,0.690,11.869,0.739,g0000482-551119,1,,0.01338,-55.18869,9515,0.307,0.337,0.386,2.839,2.955,2.935,2.156,2.5,,,,,3.2875,0.1339,0,0,0
J00005234-3550370,12.127,0.832,5.38,11.490,0.770,11.134,0.821,g0000523-355037,1,p,0.01454,-35.84367,15324,0.658,0.596,0.647,2.884,3.115,3.071,2.402,0.0,1261,11,4,14646,1.2718,1.0467,1,1,1
J00005317-3559104,12.445,0.671,4.14,11.620,0.743,11.488,0.651,g0000532-355911,1,p,0.01477,-35.98631,14725,0.497,0.569,0.477,3.079,3.118,3.269,2.340,0.0,1261,11,4,14646,1.2351,1.1099,1,1,1
J00005579-2554210,12.820,0.671,5.17,12.170,0.610,11.899,0.584,g0000558-255421,2,,0.01549,-25.90581,14835,0.502,0.441,0.415,2.930,3.165,3.239,2.244,3.8,,,,,2.8016,0.1931,1,1,1
