F,Seq,6dFGS,No,2MASX,MJD,z,S/N,R,Vd,e_Vd,elogVd,Cats,Simbad,_RA,_DE
F,00001,g0000144-765225,1,J00001440-7652248,53614.60,0.0533,13.2,14.0,129.0,21.7,0.073,Cats,Simbad,0.0598333,-76.8736389
F,00002,g0000222-013746,1,J00002213-0137463,52962.44,0.0383,24.1,18.4,199.1,10.5,0.023,Cats,Simbad,0.0922917,-1.6294722
F,00003,g0000235-065610,1,J00002348-0656103,52966.46,0.0376,15.2,16.6,156.2,16.2,0.045,Cats,Simbad,0.0978333,-6.9361944
F,00004,g0000251-260240,1,J00002509-2602401,52846.78,0.0508,13.2,13.0,218.5,20.1,0.040,Cats,Simbad,0.1045417,-26.0445000
F,00005,g0000356-014547,1,J00003564-0145472,52962.44,0.0244,14.0,16.3,133.4,20.3,0.066,Cats,Simbad,0.1485000,-1.7631667
F,00006,g0000358-403432,1,J00003574-4034323,52881.58,0.0500,9.6,8.9,143.7,30.8,0.093,Cats,Simbad,0.1489583,-40.5756111
F,00007,g0000428-721715,1,J00004283-7217148,53618.50,0.0348,13.9,19.0,151.2,17.1,0.049,Cats,Simbad,0.1783333,-72.2874167
F,00008,g0000459-815803,1,J00004596-8158024,53646.46,0.0422,14.9,9.6,200.9,26.8,0.058,Cats,Simbad,0.1912917,-81.9674167
F,00009,g0000482-551119,1,J00004816-5511192,52969.51,0.0323,11.1,14.4,135.4,25.3,0.081,Cats,Simbad,0.2006667,-55.1886944
F,00010,g0000523-355037,1,J00005234-3550370,52872.63,0.0520,14.9,10.2,242.3,26.8,0.048,Cats,Simbad,0.2180417,-35.8436667
F,00011,g0000532-355911,1,J00005317-3559104,52872.63,0.0500,15.6,13.3,207.0,19.1,0.040,Cats,Simbad,0.2216250,-35.9863056
F,00012,g0000558-255421,2,J00005579-2554210,52846.78,0.0505,10.3,15.4,188.4,18.2,0.042,Cats,Simbad,0.2323750,-25.9058056
F,00012,g0000558-255421,2,J00005579-2554210,52880.53,0.0505,15.6,19.5,149.9,13.1,0.038,Cats,Simbad,0.2323750,-25.9058056
F,00013,g0001010-434516,1,J00010098-4345156,52881.58,0.0393,12.9,17.6,135.3,19.3,0.062,Cats,Simbad,0.2541250,-43.7543056
F,00014,g0001011-435136,1,J00010107-4351356,52881.58,0.0393,10.7,14.4,145.0,25.0,0.075,Cats,Simbad,0.2544167,-43.8599167
F,00015,g0001060-535931,1,J00010597-5359303,52969.51,0.0314,22.0,20.7,223.9,12.4,0.024,Cats,Simbad,0.2749167,-53.9918056
F,00016,g0001330-072610,1,J00013295-0726099,52966.46,0.0295,17.3,24.5,124.5,14.3,0.050,Cats,Simbad,0.3872917,-7.4361389
F,00017,g0001341-361900,1,J00013415-3619001,52872.63,0.0489,22.9,15.9,179.6,12.8,0.031,Cats,Simbad,0.3922500,-36.3167500
F,00018,g0001361-144455,1,J00013605-1444548,53289.49,0.0377,16.5,17.7,186.8,15.1,0.035,Cats,Simbad,0.4002083,-14.7486667
F,00019,g0001453-042049,1,J00014527-0420489,52971.44,0.0479,14.4,17.3,154.9,13.9,0.039,Cats,Simbad,0.4387083,-4.3469444
F,00020,g0002177-434517,1,J00021772-4345168,52881.58,0.0409,12.6,16.0,154.4,20.3,0.057,Cats,Simbad,0.5738333,-43.7546667
F,00021,g0002198-435220,1,J00021977-4352198,52881.58,0.0386,8.3,10.0,150.2,33.5,0.097,Cats,Simbad,0.5825000,-43.8721111
F,00022,g0002248-544560,1,J00022478-5445592,52969.51,0.0326,14.0,17.0,142.7,17.4,0.053,Cats,Simbad,0.6032083,-54.7665278
F,00023,g0002391-384627,1,J00023914-3846268,52872.63,0.0504,8.0,8.9,213.1,38.8,0.079,Cats,Simbad,0.6630417,-38.7741389
F,00024,g0002411-810203,1,J00024122-8102029,53646.46,0.0541,10.2,11.8,151.0,25.7,0.074,Cats,Simbad,0.6712083,-81.0340556
F,00025,g0002441-435802,1,J00024412-4358019,52881.58,0.0395,15.0,16.4,191.5,16.8,0.038,Cats,Simbad,0.6837917,-43.9671667
F,00026,g0002443-534455,1,J00024429-5344549,52969.51,0.0349,19.1,17.8,204.4,13.6,0.029,Cats,Simbad,0.6845000,-53.7485833
F,00027,g0002547-354319,1,J00025470-3543194,52872.63,0.0488,15.4,14.4,226.8,21.4,0.041,Cats,Simbad,0.7278750,-35.7220556
F,00028,g0003055-540211,1,J00030547-5402112,52969.51,0.0362,14.3,17.5,126.5,16.0,0.055,Cats,Simbad,0.7728750,-54.0364167
F,00029,g0003112-544458,1,J00031127-5444588,52969.51,0.0327,14.7,14.1,320.3,31.7,0.043,Cats,Simbad,0.7964583,-54.7494444
F,00030,g0003213-355622,1,J00032129-3556222,52872.63,0.0474,10.1,11.6,179.3,27.7,0.067,Cats,Simbad,0.8388333,-35.9394722
F,00031,g0003214-500450,1,J00032138-5004494,52967.47,0.0345,25.2,24.5,194.6,9.9,0.022,Cats,Simbad,0.8389583,-50.0805000
F,00032,g0003468-551419,1,J00034674-5514189,52969.51,0.0334,17.5,20.5,131.0,14.5,0.048,Cats,Simbad,0.9447917,-55.2386111
F,00033,g0003487-433706,1,J00034871-4337058,52881.58,0.0301,16.5,20.8,120.2,15.5,0.056,Cats,Simbad,0.9529583,-43.6183056
F,00034,g0003518-120609,1,J00035182-1206094,53199.76,0.0434,12.9,14.4,204.4,20.2,0.043,Cats,Simbad,0.9659583,-12.1025556
F,00035,g0003572-614657,1,J00035710-6146566,52970.44,0.0297,12.5,12.7,182.9,24.8,0.059,Cats,Simbad,0.9881250,-61.7824722
F,00036,g0004060-513457,1,J00040601-5134568,53554.73,0.0344,10.4,9.8,204.6,32.0,0.068,Cats,Simbad,1.0251667,-51.5825000
F,00037,g0004121-143125,1,J00041205-1431250,53289.49,0.0240,17.6,16.5,148.8,15.8,0.046,Cats,Simbad,1.0502917,-14.5236667
F,00038,g0004182-250606,1,J00041814-2506060,52883.61,0.0505,7.1,11.2,201.3,30.6,0.066,Cats,Simbad,1.0756250,-25.1017500
F,00039,g0004284-525414,1,J00042841-5254136,52967.47,0.0308,10.1,12.7,168.5,23.3,0.060,Cats,Simbad,1.1183333,-52.9038611
F,00040,g0004422-302901,1,J00044222-3029007,52876.71,0.0267,40.4,24.6,236.6,7.6,0.014,Cats,Simbad,1.1759583,-30.4836389
