6dFGS,No,logAge,e_logAge,[Fe/H],e_[Fe/H],[a/Fe],e_[a/Fe],[Z/H],e_[Z/H],Q,_RA,_DE
g0000144-765225,1,0.650,0.088,-0.646,0.158,0.500,0.111,-0.175,0.063,5,0.0598333,-76.8736389
g0000222-013746,1,0.500,0.058,0.435,0.066,-0.090,0.040,0.350,0.047,7,0.0922917,-1.6294722
g0000235-065610,1,0.475,0.075,0.237,0.088,0.120,0.038,0.350,0.067,5,0.0978333,-6.9361944
g0000251-260240,1,0.775,0.108,0.027,0.125,0.210,0.064,0.225,0.072,6,0.1045417,-26.0445000
g0000356-014547,1,0.375,0.046,-0.070,0.073,0.180,0.046,0.100,0.045,5,0.1485000,-1.7631667
g0000358-403432,1,0.500,0.107,0.005,0.151,0.180,0.070,0.175,0.099,8,0.1489583,-40.5756111
g0000428-721715,1,1.175,0.021,-0.185,0.057,0.090,0.048,-0.100,0.030,4,0.1783333,-72.2874167
g0000459-815803,1,0.250,0.042,-0.170,0.131,0.180,0.082,0.000,0.067,6,0.1912917,-81.9674167
g0000523-355037,1,0.700,0.083,-0.471,0.113,0.500,0.073,0.000,0.054,8,0.2180417,-35.8436667
g0000532-355911,1,0.700,0.089,-0.295,0.113,0.340,0.077,0.025,0.055,5,0.2216250,-35.9863056
g0001010-434516,1,0.750,0.095,-0.095,0.116,0.180,0.067,0.075,0.062,3,0.2541250,-43.7543056
g0001011-435136,1,1.175,0.024,-0.458,0.068,0.300,0.055,-0.175,0.031,4,0.2544167,-43.8599167
g0001060-535931,1,0.725,0.084,0.199,0.068,0.240,0.028,0.425,0.048,3,0.2749167,-53.9918056
g0001330-072610,1,0.925,0.069,-0.045,0.069,0.180,0.041,0.125,0.039,2,0.3872917,-7.4361389
g0001341-361900,1,-0.125,0.037,0.199,0.112,0.240,0.051,0.425,0.071,6,0.3922500,-36.3167500
g0001361-144455,1,1.000,0.069,-0.051,0.070,0.240,0.035,0.175,0.052,1,0.4002083,-14.7486667
g0002177-434517,1,0.500,0.106,0.309,0.120,0.150,0.036,0.450,0.105,3,0.5738333,-43.7546667
g0002248-544560,1,0.725,0.091,0.243,0.088,0.060,0.039,0.300,0.063,9,0.6032083,-54.7665278
g0002441-435802,1,0.450,0.059,0.062,0.078,0.120,0.043,0.175,0.052,5,0.6837917,-43.9671667
g0002443-534455,1,0.925,0.065,0.096,0.060,0.270,0.034,0.350,0.039,5,0.6845000,-53.7485833
g0002547-354319,1,0.750,0.082,-0.245,0.117,0.340,0.074,0.075,0.060,6,0.7278750,-35.7220556
g0003055-540211,1,0.825,0.058,-0.296,0.062,0.500,0.041,0.175,0.033,6,0.7728750,-54.0364167
g0003112-544458,1,0.900,0.075,0.180,0.057,0.180,0.033,0.350,0.038,7,0.7964583,-54.7494444
g0003213-355622,1,0.375,0.078,-0.233,0.154,0.300,0.101,0.050,0.080,8,0.8388333,-35.9394722
g0003214-500450,1,0.675,0.074,0.071,0.073,0.270,0.038,0.325,0.046,5,0.8389583,-50.0805000
g0003468-551419,1,0.525,0.067,-0.033,0.095,0.300,0.051,0.250,0.055,9,0.9447917,-55.2386111
g0003487-433706,1,0.925,0.073,-0.166,0.081,0.150,0.048,-0.025,0.047,1,0.9529583,-43.6183056
g0003518-120609,1,0.225,0.035,0.104,0.133,0.420,0.053,0.500,0.123,10,0.9659583,-12.1025556
g0003572-614657,1,0.325,0.068,-0.224,0.125,0.530,0.059,0.275,0.084,6,0.9881250,-61.7824722
g0004060-513457,1,1.050,0.061,-0.596,0.089,0.500,0.060,-0.125,0.042,8,1.0251667,-51.5825000
g0004121-143125,1,0.450,0.062,0.075,0.092,0.000,0.061,0.075,0.059,0,1.0502917,-14.5236667
g0004284-525414,1,1.175,0.020,-0.379,0.047,0.270,0.036,-0.125,0.027,7,1.1183333,-52.9038611
