2MASX,Jtot,Jlogr,n,Htot,Hlogr,Ktot,Klogr,6dFGS,No,p,RAJ2000,DEJ2000,cz,JlogRe,HlogRe,KlogRe,JlogIe,HlogIe,KlogIe,logVd,Mt,Group,Nr,Ng,cz.gr,d5,sD5,Js,Hs,Ks,d_mpc,M_K,M_pred,residual,mu_fj,d_fj_mpc
J00001440-7652248,13.177,0.605,5.43,12.49,0.503,12.206,0.401,g0000144-765225,1,p,0.00399,-76.87364,15941,0.465,0.363,0.261,2.94,3.266,3.489,2.137,2.2,,,,,4.2758,0.1176,1,1,1,226.08140689263934,-24.565324235522432,-23.951543769418336,-0.613780466104096,36.15754376941834,170.41536688485024
J00002213-0137463,12.625,0.312,4.52,11.896,0.278,11.741,0.201,g0000222-013746,1,p,0.00615,-1.62947,11123,0.024,-0.01,-0.087,3.708,3.921,4.067,2.338,2.5,,,,,6.4318,0.0385,1,1,1,157.75067366331015,-24.24885611272297,-24.611051791215804,0.36219567849283507,36.3520517912158,186.38474259495126
J00002348-0656103,12.595,0.638,6.0,11.857,0.665,11.869,0.428,g0000235-065610,1,p,0.00652,-6.93619,10920,0.343,0.37,0.133,3.067,3.161,3.562,2.219,3.7,,,,,6.2142,0.0448,1,1,1,154.87164941143098,-24.08085961845838,-24.220596793236208,0.139737174777828,36.08959679323621,165.16550845304135
J00002509-2602401,12.495,0.538,3.59,11.781,0.505,11.553,0.477,g0000251-260240,1,p,0.00697,-26.0445,14926,0.371,0.338,0.31,3.328,3.531,3.592,2.369,2.3,,,,,3.2827,0.1434,1,1,1,211.6862856332435,-25.075463613036668,-24.712766958756706,-0.36269665427996145,36.26576695875671,179.12384033547715
J00003564-0145472,12.242,0.8,3.24,11.605,0.77,11.281,0.804,g0000356-014547,1,p,0.0099,-1.76317,6956,0.316,0.286,0.32,2.859,3.029,3.04,2.144,3.0,,,,,3.8994,0.1036,1,1,1,98.65267337966245,-23.689544293268163,-23.97451171047596,0.2849674172077954,35.25551171047596,112.48700199121112
J00003574-4034323,13.443,0.493,2.22,12.849,0.426,12.442,0.436,g0000358-403432,1,p,0.00993,-40.57561,14746,0.322,0.255,0.265,3.035,3.26,3.318,2.189,2.8,,,,,1.7626,0.4926,1,1,1,209.13345624734077,-24.160117574450187,-24.12216276013211,-0.03795481431807701,36.564162760132106,205.50980730047075
J00004283-7217148,12.942,0.544,3.89,12.187,0.559,11.898,0.6,g0000428-721715,1,p,0.01189,-72.28741,10366,0.227,0.242,0.283,3.112,3.238,3.205,2.209,3.0,,,,,12.0403,0.0104,1,1,1,147.01460785704154,-23.93880244913235,-24.187785448868176,0.24898299973582638,36.08578544886818,164.87586604141066
J00004596-8158024,12.958,0.446,3.43,12.276,0.381,11.809,0.407,g0000459-815803,1,p,0.01275,-81.96741,12646,0.211,0.146,0.172,3.354,3.595,3.645,2.336,3.0,,,,,8.6686,0.0311,1,1,1,179.35044674514253,-24.459512314000783,-24.604489522342195,0.14497720834141248,36.413489522342196,191.7334577489511
J00004816-5511192,13.018,0.66,0.82,12.218,0.69,11.869,0.739,g0000482-551119,1,,0.01338,-55.18869,9515,0.307,0.337,0.386,2.839,2.955,2.935,2.156,2.5,,,,,3.2875,0.1339,0,0,0,134.94539781591263,-23.781790389729984,-24.0138853237176,0.23209493398761438,35.8828853237176,150.16788522168497
J00005234-3550370,12.127,0.832,5.38,11.49,0.77,11.134,0.821,g0000523-355037,1,p,0.01454,-35.84367,15324,0.658,0.596,0.647,2.884,3.115,3.071,2.402,0.0,1261.0,11.0,4.0,14646.0,1.2718,1.0467,1,1,1,217.33087505318392,-25.55160714316999,-24.821044395171217,-0.7305627479987713,35.955044395171214,155.24187484187277
