Name,HJD,Kmag,e_Kmag,J-K,e_J-K
HV 12197,2450438.65133,14.524,0.039,0.481,0.045
HV 12197,2450439.57052,14.428,0.026,0.327,0.028
HV 12197,2450439.65912,14.387,0.024,0.354,0.026
HV 12197,2450439.76887,14.399,0.018,0.362,0.020
HV 12197,2450439.86449,14.408,0.030,0.365,0.032
HV 12197,2450440.55941,14.382,0.027,0.417,0.030
HV 12197,2450440.67597,14.387,0.022,0.427,0.027
HV 12197,2450440.79185,14.402,0.017,0.458,0.028
HV 12197,2450441.76019,14.610,0.015,0.403,0.032
HV 12197,2450442.56188,14.430,0.002,0.363,0.043
HV 12197,2450442.67890,14.486,0.021,0.372,0.050
HV 12197,2450442.83072,14.398,0.005,0.385,0.036
HV 12197,2450819.58166,14.620,0.007,0.316,0.073
HV 12197,2450819.68292,14.536,0.036,0.357,0.039
HV 12197,2450819.76907,14.498,0.040,0.366,0.057
HV 12197,2450819.85744,14.532,0.034,0.326,0.048
HV 12197,2450820.65694,14.375,0.020,0.447,0.036
HV 12197,2450820.72873,14.379,0.019,0.473,0.026
HV 12197,2450821.64032,14.474,0.040,0.447,0.057
HV 12197,2450821.73023,14.488,0.079,0.461,0.112
HV 12197,2450822.63444,14.592,0.021,0.395,0.030
HV 12197,2450822.72457,14.588,0.028,0.345,0.054
HV 12197,2450822.79127,14.502,0.072,0.393,0.102
HV 12197,2450823.59622,14.399,0.047,0.410,0.051
HV 12197,2450823.74999,14.360,0.052,0.430,0.074
HV 12197,2450824.63489,14.415,0.028,0.549,0.040
HV 12197,2450824.82358,14.457,0.028,0.495,0.030
HV 12197,2451091.66107,14.369,0.037,0.451,0.052
HV 12197,2451092.72955,14.577,0.025,0.393,0.035
HV 12197,2451093.75574,14.353,0.028,0.394,0.040
HV 12197,2451174.74014,14.554,0.008,0.413,0.011
HV 12197,2451175.68194,14.391,0.015,0.384,0.015
HV 12197,2451175.80746,14.341,0.021,0.451,0.028
HV 12197,2451176.69802,14.443,0.011,0.435,0.016
HV 12197,2451178.71864,14.415,0.003,0.347,0.006
HV 12197,2451179.72201,14.367,0.003,0.460,0.006
HV 12197,2451183.76053,14.541,0.025,0.577,0.035
HV 12197,2451184.76854,14.402,0.045,0.344,0.064
HV 12197,2451185.72760,14.442,0.021,0.413,0.030
HV 12197,2451204.74819,14.464,0.018,0.411,0.018
HV 12197,2451205.67326,14.527,0.004,0.444,0.006
HV 12197,2451206.67188,14.437,0.016,0.337,0.021
HV 12197,2451207.66798,14.372,0.005,0.445,0.005
HV 12197,2451208.67770,14.504,0.009,0.443,0.010
HV 12198,2450438.62043,14.378,0.012,0.411,0.017
HV 12198,2450438.74977,14.431,0.009,0.390,0.011
HV 12198,2450438.83155,14.428,0.018,0.405,0.026
HV 12198,2450439.55712,14.251,0.029,0.319,0.034
HV 12198,2450439.64676,14.267,0.027,0.302,0.033
HV 12198,2450439.75557,14.244,0.018,0.336,0.026
HV 12198,2450439.85394,14.271,0.021,0.287,0.033
HV 12198,2450440.54784,14.189,0.039,0.447,0.055
HV 12198,2450440.66497,14.234,0.033,0.426,0.047
HV 12198,2450440.77436,14.204,0.017,0.455,0.033
HV 12198,2450441.74460,14.318,0.018,0.446,0.018
HV 12198,2450441.87776,14.355,0.004,0.436,0.023
HV 12198,2450442.54827,14.419,0.039,0.364,0.055
HV 12198,2450442.66375,14.416,0.038,0.279,0.054
HV 12198,2450442.80668,14.345,0.015,0.303,0.021
HV 12198,2450819.53595,14.402,0.004,0.305,0.012
HV 12198,2450819.65548,14.340,0.064,0.322,0.091
HV 12198,2450819.73948,14.373,0.059,0.270,0.083
HV 12198,2450819.82571,14.318,0.008,0.290,0.019
HV 12198,2450820.59909,14.218,0.005,0.365,0.016
HV 12198,2450820.76229,14.241,0.008,0.378,0.011
HV 12198,2450821.58455,14.263,0.007,0.423,0.014
HV 12198,2450821.67349,14.257,0.007,0.434,0.019
HV 12198,2450821.76215,14.265,0.015,0.447,0.023
HV 12198,2450821.84967,14.261,0.025,0.448,0.029
HV 12198,2450822.58042,14.380,0.018,0.445,0.025
HV 12198,2450822.66643,14.433,0.005,0.451,0.012
HV 12198,2450822.81781,14.373,0.024,0.478,0.029
HV 12198,2450823.56831,14.269,0.008,0.314,0.012
HV 12198,2450823.65780,14.279,0.054,0.273,0.076
HV 12198,2450823.73563,14.263,0.018,0.326,0.022
HV 12198,2450824.57889,14.272,0.012,0.396,0.013
HV 12198,2450824.65966,14.225,0.008,0.442,0.018
HV 12198,2450824.76949,14.211,0.044,0.428,0.062
HV 12198,2451089.76096,14.313,0.059,0.429,0.083
HV 12198,2451091.72843,14.291,0.050,0.306,0.071
HV 12198,2451093.77004,14.342,0.035,0.463,0.049
HV 12198,2451174.75297,14.402,0.010,0.427,0.010
HV 12198,2451174.78517,14.424,0.010,0.389,0.011
HV 12198,2451175.69714,14.302,0.003,0.317,0.005
HV 12198,2451175.72971,14.305,0.015,0.303,0.017
HV 12198,2451176.70851,14.233,0.005,0.392,0.006
HV 12198,2451176.73898,14.225,0.007,0.418,0.009
HV 12198,2451178.72897,14.445,0.008,0.384,0.008
HV 12198,2451178.76025,14.431,0.007,0.415,0.009
HV 12198,2451179.74043,14.262,0.011,0.344,0.012
HV 12198,2451179.77307,14.228,0.001,0.383,0.005
HV 12198,2451183.77294,14.235,0.040,0.387,0.057
HV 12198,2451184.81715,14.359,0.043,0.389,0.061
HV 12198,2451185.74514,14.451,0.042,0.419,0.059
HV 12198,2451185.78135,14.421,0.038,0.424,0.054
HV 12198,2451204.76497,14.228,0.006,0.385,0.006
HV 12198,2451205.69064,14.258,0.002,0.449,0.003
HV 12198,2451205.74578,14.296,0.005,0.420,0.006
HV 12198,2451206.69263,14.450,0.003,0.407,0.004
HV 12198,2451206.76035,14.451,0.012,0.400,0.012
HV 12198,2451207.68151,14.261,0.004,0.343,0.004
HV 12198,2451207.74886,14.269,0.017,0.327,0.017
HV 12198,2451208.69182,14.253,0.003,0.393,0.007
HV 12198,2451208.75509,14.244,0.003,0.428,0.005
HV 12198,2451566.60760,14.287,0.052,0.369,0.074
HV 12198,2451566.75500,14.299,0.049,0.281,0.069
HV 12198,2451567.56080,14.248,0.049,0.369,0.069
HV 12198,2451567.60450,14.274,0.046,0.340,0.065
HV 12198,2451567.66660,14.192,0.040,0.426,0.057
HV 12198,2451567.71320,14.287,0.046,0.351,0.065
HV 12198,2451567.75880,14.244,0.051,0.381,0.072
HV 12198,2451568.62060,14.305,0.051,0.430,0.072
HV 12198,2451568.67050,14.273,0.044,0.440,0.062
HV 12198,2451568.70740,14.287,0.049,0.449,0.069
HV 12198,2451568.74410,14.291,0.052,0.437,0.074
HV 12198,2451568.78150,14.314,0.049,0.429,0.069
HV 12198,2451569.58880,14.399,0.053,0.475,0.075
HV 12198,2451569.62470,14.434,0.048,0.421,0.068
HV 12198,2451569.66080,14.482,0.046,0.414,0.065
HV 12198,2451569.69740,14.437,0.051,0.418,0.072
HV 12198,2451569.73420,14.384,0.055,0.447,0.078
HV 12198,2451569.77800,14.468,0.055,0.384,0.078
HV 12199,2450438.68703,14.722,0.025,0.596,0.026
HV 12199,2450438.78830,14.681,0.014,0.552,0.015
HV 12199,2450438.87683,14.590,0.007,0.525,0.037
HV 12199,2450439.59475,14.617,0.004,0.570,0.016
HV 12199,2450439.68461,14.690,0.027,0.618,0.033
HV 12199,2450439.79139,14.595,0.014,0.696,0.018
HV 12199,2450440.58965,14.691,0.019,0.739,0.024
HV 12199,2450440.70248,14.784,0.020,0.603,0.028
HV 12199,2450440.81953,14.793,0.005,0.652,0.015
HV 12199,2450441.78665,14.769,0.021,0.445,0.030
HV 12199,2450442.58665,14.636,0.007,0.667,0.021
HV 12199,2450442.71195,14.683,0.011,0.551,0.019
HV 12199,2450819.56392,14.577,0.024,0.630,0.031
HV 12199,2450819.66697,14.606,0.011,0.608,0.041
HV 12199,2450819.75408,14.578,0.007,0.673,0.019
HV 12199,2450819.83924,14.603,0.010,0.585,0.030
HV 12199,2450820.67084,14.775,0.020,0.582,0.030
HV 12199,2450820.74262,14.734,0.016,0.629,0.028
HV 12199,2450821.65265,14.650,0.015,0.483,0.030
HV 12199,2450821.74142,14.627,0.004,0.514,0.012
HV 12199,2450821.82782,14.613,0.023,0.573,0.029
HV 12199,2450822.64698,14.641,0.028,0.593,0.033
HV 12199,2450822.73675,14.648,0.018,0.683,0.025
HV 12199,2450822.80631,14.620,0.063,0.711,0.089
HV 12199,2450823.58191,14.776,0.011,0.633,0.032
HV 12199,2450823.66868,14.815,0.016,0.596,0.027
HV 12199,2450824.64601,14.599,0.006,0.606,0.046
HV 12199,2450824.72670,14.559,0.002,0.666,0.052
HV 12199,2451091.66107,14.643,0.053,0.598,0.075
HV 12199,2451092.72955,14.839,0.036,0.644,0.051
HV 12199,2451093.75574,14.644,0.029,0.580,0.041
HV 12199,2451174.74014,14.816,0.008,0.665,0.019
HV 12199,2451175.68194,14.613,0.008,0.597,0.011
HV 12199,2451175.80746,14.663,0.012,0.593,0.013
