Name,HJD,Phase,BRV
HV 12197,2450066.6647,0.39,298.5
HV 12197,2450067.5543,0.67,314.2
HV 12197,2450067.8071,0.76,315.5
HV 12197,2450068.6029,0.01,283.8
HV 12197,2450095.7638,0.65,310.9
HV 12197,2450096.6082,0.92,290.1
HV 12197,2450096.8013,0.98,281.6
HV 12197,2450097.6318,0.24,292.6
HV 12197,2450097.8436,0.31,292.1
HV 12197,2451555.6825,0.03,282.5
HV 12197,2451555.8249,0.07,278.6
HV 12197,2451556.7124,0.35,298.5
HV 12197,2451556.8360,0.39,301.0
HV 12197,2451558.5401,0.94,287.3
HV 12197,2451571.5869,0.09,282.2
HV 12197,2451572.7538,0.46,304.1
HV 12197,2451573.5842,0.72,316.6
HV 12197,2451573.7776,0.78,315.2
HV 12198,2450066.6203,0.16,284.0
HV 12198,2450066.7786,0.20,289.4
HV 12198,2450067.6057,0.44,304.1
HV 12198,2450068.7307,0.76,318.7
HV 12198,2450095.8158,0.44,307.2
HV 12198,2450096.6464,0.68,316.2
HV 12198,2450096.8256,0.73,314.9
HV 12198,2450097.6714,0.97,281.8
HV 12198,2451571.5604,0.36,301.0
HV 12199,2450066.6376,0.95,286.7
HV 12199,2450066.8064,0.01,278.8
HV 12199,2450067.5748,0.30,293.4
HV 12199,2450067.7814,0.38,303.5
HV 12199,2450068.5866,0.69,319.7
HV 12199,2450068.8237,0.78,316.9
HV 12199,2450095.7790,0.99,277.6
HV 12199,2450096.6235,0.31,295.9
HV 12199,2450096.8422,0.39,299.4
HV 12199,2450097.6485,0.70,320.1
HV 12199,2451555.7082,0.17,286.3
HV 12199,2451556.5402,0.48,308.8
HV 12199,2451556.6603,0.53,310.1
HV 12199,2451556.8110,0.58,314.4
HV 12199,2451557.6894,0.92,292.6
HV 12199,2451558.7151,0.31,297.4
HV 12199,2451572.7110,0.61,315.3
HV 12199,2451574.7432,0.38,300.0
HV 12202,2450066.6821,0.43,314.6
HV 12202,2450067.6265,0.73,326.5
HV 12202,2450067.8286,0.80,325.7
HV 12202,2450068.7466,0.09,292.0
HV 12202,2450095.8325,0.83,321.1
HV 12202,2450096.6756,0.10,292.1
HV 12202,2450097.6901,0.43,313.2
HV 12202,2451571.6203,0.72,308.1
HV 12202,2451572.6177,0.04,275.1
HV 12202,2451573.6939,0.38,293.0
HV 12202,2451574.6297,0.69,307.4
HV 12203,2450066.5904,0.27,294.1
HV 12203,2450066.7585,0.32,302.1
HV 12203,2450067.6466,0.62,315.4
HV 12203,2450067.8480,0.69,319.6
HV 12203,2450067.8637,0.70,319.2
HV 12203,2450068.7692,0.00,284.8
HV 12203,2450095.8520,0.17,290.5
HV 12203,2450096.6908,0.45,308.3
HV 12203,2450097.7193,0.80,318.3
HV 12203,2451555.6186,0.32,300.9
HV 12203,2451555.7429,0.36,303.3
HV 12203,2451556.6311,0.66,319.4
HV 12203,2451556.7839,0.71,322.0
HV 12203,2451557.6672,0.01,283.9
HV 12203,2451558.6506,0.34,301.5
HV 12203,2451572.6850,0.10,285.6
HV 12204,2450066.5654,0.15,282.2
HV 12204,2450066.7376,0.20,284.1
HV 12204,2450067.6675,0.47,302.3
HV 12204,2450068.7943,0.80,318.9
HV 12204,2450096.7144,0.92,304.9
HV 12204,2450097.7381,0.21,286.8
HV 12204,2451555.6398,0.18,284.3
HV 12204,2451556.6832,0.48,304.0
HV 12204,2451558.5679,0.03,275.1
HV 12204,2451558.6887,0.06,276.0
HV 12204,2451571.7364,0.86,323.3
HV 12204,2451573.7296,0.44,302.0
NGC 1866-V4,2450067.7223,0.77,310.5
NGC 1866-V4,2450068.6640,0.05,293.5
NGC 1866-V4,2450097.5985,0.77,312.6
NGC 1866-V4,2450097.8082,0.83,306.7
NGC 1866-V6,2450067.7598,0.72,306.2
NGC 1866-V6,2450068.6848,0.20,291.2
NGC 1866-V6,2450095.7013,0.15,293.2
NGC 1866-V6,2450096.5415,0.59,309.6
NGC 1866-V6,2450096.7436,0.69,311.4
NGC 1866-V6,2450097.5401,0.10,290.2
NGC 1866-V6,2450097.7700,0.22,295.0
NGC 1866-V7,2450066.7189,0.65,309.6
NGC 1866-V7,2450067.6876,0.94,294.1
NGC 1866-V7,2450068.6265,0.21,295.4
NGC 1866-V7,2450096.5853,0.47,298.2
NGC 1866-V7,2450096.7818,0.52,297.9
NGC 1866-V7,2450097.5797,0.76,310.8
NGC 1866-V7,2450097.8276,0.83,312.2
NGC 1866-V8,2450067.7022,0.20,286.6
NGC 1866-V8,2450068.6428,0.67,311.7
NGC 1866-V8,2450096.5568,0.58,304.3
NGC 1866-V8,2450096.7672,0.68,306.5
NGC 1866-V8,2450097.5561,0.07,293.2
NGC 1866-V8,2450097.7846,0.19,289.7
NGC 2031-V4,2451555.5790,0.01,224.5
NGC 2031-V4,2451555.7933,0.07,228.3
NGC 2031-V4,2451556.5662,0.29,243.2
NGC 2031-V4,2451556.7349,0.34,245.8
NGC 2031-V4,2451557.7196,0.63,260.9
NGC 2031-V4,2451558.5926,0.89,248.2
NGC 2031-V4,2451571.6981,0.71,267.4
NGC 2031-V4,2451571.8097,0.74,267.5
NGC 2031-V4,2451572.5492,0.96,228.1
NGC 2031-V4,2451572.6442,0.98,227.7
NGC 2031-V4,2451572.7860,0.03,225.8
NGC 2031-V4,2451573.5461,0.25,241.7
NGC 2031-V4,2451573.6566,0.28,244.1
NGC 2031-V4,2451574.5423,0.54,259.8
NGC 2031-V4,2451574.6699,0.57,262.2
NGC 2031-V4,2451574.7803,0.61,263.2
NGC 2031-V11,2451555.5537,0.25,236.7
NGC 2031-V11,2451555.7669,0.32,243.3
NGC 2031-V11,2451556.5884,0.61,263.9
NGC 2031-V11,2451556.7571,0.67,265.4
NGC 2031-V11,2451558.6141,0.33,245.0
NGC 2031-V11,2451571.6610,0.95,221.2
NGC 2031-V11,2451571.7738,0.99,213.8
NGC 2031-V11,2451572.5861,0.28,241.3
NGC 2031-V11,2451572.8168,0.36,244.6
NGC 2031-V11,2451573.6204,0.64,263.1
NGC 2031-V11,2451574.5781,0.98,220.5
NGC 2031-V11,2451574.7004,0.03,222.1
NGC 2031-V11,2451574.8164,0.07,223.5
