Name,BRV,Flag,photo,RV,_RA,_DE,_ivoid
HV 12197,298.6,,photo,RV,78.3425,-65.5039,ivo://CDS.VizieR/J/A+A/440/487:table4:1
HV 12198,299.7,,photo,RV,78.3612,-65.4514,ivo://CDS.VizieR/J/A+A/440/487:table4:2
HV 12199,300.4,,photo,RV,78.3550,-65.4919,ivo://CDS.VizieR/J/A+A/440/487:table4:3
HV 12202,303.1,a,photo,RV,78.4521,-65.4767,ivo://CDS.VizieR/J/A+A/440/487:table4:4
HV 12203,302.4,,photo,RV,78.4592,-65.4864,ivo://CDS.VizieR/J/A+A/440/487:table4:5
HV 12204,296.5,a,photo,RV,78.4908,-65.4781,ivo://CDS.VizieR/J/A+A/440/487:table4:6
NGC 1866-V4,302.6,,photo,RV,78.4075,-65.4486,ivo://CDS.VizieR/J/A+A/440/487:table4:7
NGC 1866-V6,298.9,,photo,RV,78.4246,-65.4667,ivo://CDS.VizieR/J/A+A/440/487:table4:8
NGC 1866-V7,298.7,,photo,RV,78.4267,-65.4528,ivo://CDS.VizieR/J/A+A/440/487:table4:9
NGC 1866-V8,298.2,,photo,RV,78.4287,-65.4500,ivo://CDS.VizieR/J/A+A/440/487:table4:10
NGC 2031-V4,247.7,,photo,RV,83.4377,-70.9932,ivo://CDS.VizieR/J/A+A/440/487:table4:11
NGC 2031-V11,242.1,,photo,RV,83.4084,-70.9949,ivo://CDS.VizieR/J/A+A/440/487:table4:12
