F,TFC,Xpos,Ypos,Vmag,e_Vmag,B-V,e_B-V,_RA,_DE
A,9,942.889,2.923,22.650,0.090,0.952,0.166,78.50542,-65.51248
A,28,927.465,10.138,22.473,0.079,0.217,0.115,78.50201,-65.51180
A,6120,934.364,3.815,18.401,0.021,-0.107,0.025,78.50353,-65.51239
B,2799,926.621,0.214,21.744,0.122,0.596,0.407,78.50180,-65.51272
B,6691,935.190,6.829,20.096,0.033,0.205,0.049,78.50372,-65.51212
A,7120,914.149,3.353,21.651,0.043,0.238,0.108,78.49903,-65.51241
B,34,901.734,17.139,22.105,0.047,0.255,0.083,78.49631,-65.51113
A,3400,907.525,24.717,20.173,0.021,0.713,0.028,78.49762,-65.51043
B,29,916.151,13.349,20.347,0.028,0.201,0.047,78.49951,-65.51149
A,1,170.777,0.863,19.683,0.018,0.016,0.037,78.33373,-65.51168
A,6128,149.645,13.887,20.908,0.035,0.720,0.057,78.32908,-65.51045
A,11799,139.473,18.381,21.865,0.070,0.235,0.104,78.32684,-65.51002
B,2824,147.385,17.280,22.594,0.050,0.746,0.104,78.32859,-65.51013
B,5,544.287,4.609,21.578,0.039,0.232,0.051,78.41680,-65.51184
B,2801,539.408,1.919,22.458,0.076,0.519,0.105,78.41570,-65.51208
A,4,528.304,1.727,18.916,0.012,-0.054,0.017,78.41323,-65.51209
A,6125,525.584,8.106,21.580,0.058,0.603,0.096,78.41265,-65.51149
A,7133,523.659,23.515,22.864,0.098,0.469,0.153,78.41227,-65.51007
B,20,532.096,7.862,20.431,0.015,0.837,0.028,78.41410,-65.51152
A,6118,731.715,1.301,20.071,0.021,-0.042,0.036,78.45846,-65.51238
B,9,747.116,5.924,21.799,0.053,0.349,0.077,78.46190,-65.51197
B,6124,735.746,5.093,20.491,0.027,0.336,0.037,78.45937,-65.51204
B,7542,736.440,2.227,21.537,0.059,0.513,0.087,78.45951,-65.51230
A,36,729.653,14.270,23.128,0.121,0.650,0.199,78.45804,-65.51118
B,2847,711.976,26.783,21.346,0.034,0.350,0.049,78.45415,-65.51001
B,6133,717.111,17.674,20.618,0.066,1.244,0.111,78.45526,-65.51085
B,7234,718.792,19.366,18.353,0.017,0.967,0.021,78.45564,-65.51070
A,6124,826.003,6.701,22.585,0.076,0.493,0.140,78.47944,-65.51200
B,2809,839.202,5.866,21.219,0.028,0.505,0.046,78.48237,-65.51209
A,33,811.046,11.550,21.951,0.052,0.556,0.078,78.47613,-65.51153
A,3374,802.990,10.913,21.839,0.045,0.148,0.062,78.47434,-65.51158
B,7447,802.716,10.939,19.962,0.036,-0.752,0.041,78.47428,-65.51158
A,3360,879.847,2.647,21.428,0.046,0.305,0.058,78.49140,-65.51244
A,3376,882.430,11.755,22.675,0.087,0.544,0.130,78.49200,-65.51160
A,7118,890.156,1.716,21.265,0.058,0.392,0.089,78.49369,-65.51253
A,2,859.867,1.499,20.319,0.022,0.097,0.038,78.48696,-65.51252
A,10,851.312,3.071,21.459,0.052,0.249,0.060,78.48506,-65.51236
A,30,851.743,10.463,21.338,0.034,0.295,0.045,78.48518,-65.51168
A,6121,865.064,4.208,21.842,0.056,0.501,0.084,78.48812,-65.51227
B,2814,857.216,8.276,22.094,0.053,0.446,0.079,78.48639,-65.51189
A,3,867.644,8.951,22.231,0.073,0.455,0.104,78.48871,-65.51184
B,32,863.643,15.926,21.925,0.037,0.233,0.067,78.48784,-65.51119
B,5279,854.355,30.784,21.065,0.024,0.740,0.048,78.48582,-65.50981
B,6697,852.780,26.835,22.305,0.083,0.547,0.112,78.48546,-65.51017
A,41,891.394,15.730,21.090,0.028,0.441,0.043,78.49401,-65.51124
A,3399,881.560,28.276,22.697,0.092,0.368,0.149,78.49186,-65.51008
A,6137,880.120,24.634,22.468,0.080,0.471,0.122,78.49153,-65.51041
B,42,882.059,21.543,20.823,0.033,0.210,0.046,78.49195,-65.51070
A,118,882.629,44.986,22.114,0.050,0.389,0.076,78.49215,-65.50854
A,3418,884.553,35.153,20.369,0.026,-0.040,0.032,78.49255,-65.50944
A,7132,898.658,23.322,19.739,0.020,0.007,0.026,78.49565,-65.51055
B,48,895.530,25.068,22.429,0.068,0.249,0.103,78.49496,-65.51039
A,86,875.416,32.313,22.933,0.110,0.191,0.156,78.49051,-65.50970
A,100,861.643,38.892,22.788,0.097,0.433,0.152,78.48746,-65.50907
A,111,868.556,42.265,22.082,0.047,0.196,0.073,78.48901,-65.50877
B,7296,861.146,31.849,20.528,0.043,0.088,0.055,78.48733,-65.50972
