PGC,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1
2,5296,4726,1.013,34.24,0.29,,,,,,,,,,34.24,0.29,0.48
4,4706,4109,1.011,33.29,0.17,33.31,0.16,0.56,33.29,0.17,0.60,33.28,0.17,0.59,33.26,0.17,0.66
12,6685,6195,1.016,35.03,0.22,,,,,,,,,,35.03,0.22,0.48
16,5809,5312,1.014,34.70,0.24,34.70,0.23,0.39,34.70,0.24,0.40,34.69,0.24,0.40,34.71,0.25,0.53
55,5052,4454,1.012,34.00,0.24,34.00,0.23,0.56,34.00,0.24,0.59,34.01,0.24,0.59,34.09,0.25,0.65
68,7740,7338,1.019,34.81,0.37,34.80,0.36,0.52,34.82,0.37,0.52,34.81,0.38,0.52,34.72,0.41,0.61
70,7040,6447,1.017,35.12,0.12,35.10,0.12,0.35,35.12,0.12,0.39,35.12,0.12,0.40,35.08,0.10,0.48
76,7183,6583,1.017,34.73,0.16,34.73,0.16,0.35,34.73,0.16,0.39,34.74,0.16,0.40,34.77,0.15,0.48
92,5592,5015,1.013,33.25,0.18,33.27,0.17,0.56,33.24,0.18,0.60,33.23,0.18,0.59,,,
94,4367,3995,1.011,33.89,0.32,,,,,,,,,,33.89,0.32,0.65
96,14934,14380,1.038,36.17,0.13,36.19,0.13,0.35,36.16,0.13,0.39,36.16,0.13,0.40,,,
102,5323,4726,1.013,34.20,0.13,34.19,0.13,0.35,34.20,0.13,0.39,34.20,0.13,0.40,34.41,0.11,0.48
124,6529,5988,1.016,34.49,0.14,34.49,0.14,0.51,34.49,0.14,0.51,34.49,0.14,0.51,34.54,0.13,0.61
128,12829,12230,1.032,35.90,0.23,35.90,0.22,0.51,35.92,0.23,0.51,35.89,0.23,0.51,,,
146,6590,6004,1.016,34.39,0.27,34.40,0.26,0.55,34.38,0.27,0.57,34.38,0.27,0.56,34.24,0.29,0.64
155,8156,7582,1.020,34.51,0.37,34.52,0.35,0.54,34.52,0.37,0.55,34.50,0.37,0.55,34.34,0.40,0.63
165,7878,7280,1.019,34.69,0.13,34.69,0.13,0.48,34.69,0.13,0.48,34.69,0.13,0.47,34.72,0.12,0.58
171,2725,2326,1.006,33.29,0.29,,,,,,,,,,33.29,0.29,0.57
176,6612,6109,1.016,34.97,0.26,34.96,0.25,0.35,34.98,0.26,0.39,34.98,0.26,0.40,34.94,0.28,0.48
179,5736,5175,1.014,34.04,0.27,34.04,0.26,0.46,34.05,0.27,0.46,34.04,0.28,0.45,34.07,0.30,0.57
181,1745,1944,1.005,30.42,0.58,,,,,,,,,,30.42,0.58,0.66
186,8128,7539,1.020,35.16,0.16,35.16,0.16,0.35,35.16,0.16,0.39,35.16,0.16,0.40,35.29,0.16,0.48
201,8810,8267,1.022,35.30,0.31,35.30,0.30,0.35,35.31,0.31,0.39,35.29,0.31,0.40,35.32,0.34,0.49
205,7422,6910,1.018,34.72,0.23,34.71,0.23,0.35,34.73,0.23,0.39,34.73,0.24,0.40,34.73,0.25,0.48
212,11455,10872,1.029,35.77,0.14,35.80,0.14,0.35,35.76,0.14,0.39,35.75,0.14,0.40,35.95,0.13,0.48
216,8168,7628,1.020,34.16,0.19,34.17,0.19,0.44,34.17,0.19,0.45,34.15,0.20,0.44,33.87,0.20,0.56
218,1275,693,1.002,30.95,0.12,30.93,0.12,0.35,30.95,0.12,0.39,30.96,0.12,0.40,31.09,0.10,0.48
222,7368,6774,1.018,35.83,0.18,35.82,0.18,0.44,35.83,0.18,0.44,35.83,0.19,0.43,,,
247,17548,16978,1.044,37.25,0.28,37.28,0.27,0.35,37.25,0.28,0.39,37.23,0.28,0.40,,,
250,7512,6917,1.018,34.20,0.21,34.19,0.21,0.35,34.21,0.21,0.39,34.21,0.22,0.40,34.19,0.23,0.48
257,8210,7612,1.020,35.21,0.14,35.21,0.14,0.51,35.20,0.14,0.51,35.21,0.14,0.51,,,
