DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,mu_tf,d_tf_mpc,d_catalog_mpc
*,2,UGC12889,52,4,5004,437,16,15.713,0.185,,,11.86,,,0.51,,,,,0.01,0.0,1.06,0.51,0.05,0,5,0,0,LEDA       2,LEDA,0.00684,47.2746,ivo://CDS.VizieR/J/ApJ/902/145:table1:1,5296,4726,1.013,34.24,0.29,,,,,,,,,,34.24,0.29,0.48,2.640481436970422,-22.380000000000003,-21.85002254732298,33.71002254732298,55.20831717657312,70.46930689671474
*,4,PGC000004,85,2,4458,154,5,16.688,0.076,17.57,15.91,16.06,0.25,0.21,0.27,0.81,0.12,0.36,0.06,0.01,0.0,0.79,0.34,0.01,5,4,1,1,LEDA       4,LEDA,0.01462,23.08753,ivo://CDS.VizieR/J/ApJ/902/145:table1:2,4706,4109,1.011,33.29,0.17,33.31,0.16,0.56,33.29,0.17,0.6,33.28,0.17,0.59,33.26,0.17,0.66,2.187520720836463,-17.23,-18.109387199990916,34.169387199990915,68.21461620323399,45.498806015004845
*,12,PGC000012,82,3,6548,400,19,16.071,0.185,,,13.6,,,0.25,,,,,0.05,0.01,1.24,0.71,0.07,0,5,0,1,LEDA      12,LEDA,0.03605,-6.374,ivo://CDS.VizieR/J/ApJ/902/145:table1:3,6685,6195,1.016,35.03,0.22,,,,,,,,,,35.03,0.22,0.48,2.6020599913279625,-21.43,-21.5327309753464,35.1327309753464,106.30316498955817,101.39113857366799
*,16,PGC000016,65,4,5667,297,14,17.207,0.185,16.08,14.21,13.98,0.22,0.19,0.21,0.46,0.08,0.26,0.05,0.03,0.0,1.23,0.7,0.07,5,5,0,1,LEDA      16,LEDA,0.04699,-5.15886,ivo://CDS.VizieR/J/ApJ/902/145:table1:4,5809,5312,1.014,34.7,0.24,34.7,0.23,0.39,34.7,0.24,0.4,34.69,0.24,0.4,34.71,0.25,0.53,2.4727564493172123,-20.720000000000002,-20.464917845967634,34.44491784596764,77.44324978879719,87.09635899560818
*,55,UGC12898,80,3,4779,179,10,15.757,0.076,16.82,15.71,16.18,0.28,0.23,0.22,0.59,0.1,0.26,0.04,0.01,0.0,0.78,0.34,0.01,5,4,0,1,LEDA      55,LEDA,0.156,33.60058,ivo://CDS.VizieR/J/ApJ/902/145:table1:5,5052,4454,1.012,34.0,0.24,34.0,0.23,0.56,34.0,0.24,0.59,34.01,0.24,0.59,34.09,0.25,0.65,2.2528530309798933,-17.82,-18.648913785720488,34.82891378572049,92.42357369380586,63.09573444801933
*,68,ESO538-017,57,4,7664,206,18,16.883,0.185,16.31,14.86,14.99,0.16,0.16,0.19,0.31,0.05,0.18,0.03,0.01,0.0,1.16,0.66,0.06,5,5,0,1,LEDA      68,LEDA,0.23072,-18.95911,ivo://CDS.VizieR/J/ApJ/902/145:table1:6,7740,7338,1.019,34.81,0.37,34.8,0.36,0.52,34.82,0.37,0.52,34.81,0.38,0.52,34.72,0.41,0.61,2.3138672203691533,-19.82,-19.152780512765272,34.14278051276527,67.38389369703226,91.62204901220007
*,70,UGC12900,90,1,6800,433,5,15.052,0.076,16.7,14.66,13.55,0.61,0.51,0.43,1.62,0.03,1.0,0.03,0.05,0.0,1.11,0.62,0.05,5,5,1,1,LEDA      70,LEDA,0.23353,20.33793,ivo://CDS.VizieR/J/ApJ/902/145:table1:7,7040,6447,1.017,35.12,0.12,35.1,0.12,0.35,35.12,0.12,0.39,35.12,0.12,0.4,35.08,0.1,0.48,2.6364878963533656,-21.569999999999997,-21.817043132859254,35.36704313285925,118.41552003422065,105.68175092136575
*,76,UGC12901,68,4,6920,390,5,15.778,0.076,15.83,13.65,13.21,0.34,0.27,0.3,0.53,0.09,0.3,0.05,0.02,0.0,1.24,0.71,0.07,5,5,2,1,LEDA      76,LEDA,0.24556,28.91171,ivo://CDS.VizieR/J/ApJ/902/145:table1:8,7183,6583,1.017,34.73,0.16,34.73,0.16,0.35,34.73,0.16,0.39,34.74,0.16,0.4,34.77,0.15,0.48,2.591064607026499,-21.519999999999996,-21.441929010163637,34.65192901016364,85.18944758154251,88.30799004185613
*,94,UGC12905,90,1,4098,188,14,16.006,0.185,,,15.82,,,0.32,,,,,0.01,0.0,0.78,0.33,0.01,0,4,0,0,LEDA      94,LEDA,0.50717,80.64219,ivo://CDS.VizieR/J/ApJ/902/145:table1:10,4367,3995,1.011,33.89,0.32,,,,,,,,,,33.89,0.32,0.65,2.27415784926368,-18.07,-18.824853008487988,34.644853008487985,84.91229941782538,59.979107625550945
*,102,IC5376,82,3,5048,427,7,15.411,0.076,15.81,13.45,12.85,0.43,0.33,0.33,1.04,0.19,0.61,0.11,0.04,0.01,1.24,0.71,0.07,5,5,1,1,LEDA     102,LEDA,0.33238,34.52568,ivo://CDS.VizieR/J/ApJ/902/145:table1:12,5323,4726,1.013,34.2,0.13,34.19,0.13,0.35,34.2,0.13,0.39,34.2,0.13,0.4,34.41,0.11,0.48,2.630427875025024,-21.35,-21.766998329460286,34.61699832946029,83.83003855367846,69.18309709189373
*,124,UGC12913,86,2,6350,252,6,15.782,0.076,17.23,15.26,15.18,0.29,0.31,0.32,0.98,0.16,0.48,0.08,0.01,0.0,0.88,0.42,0.02,5,5,1,1,LEDA     124,LEDA,0.4029,3.50559,ivo://CDS.VizieR/J/ApJ/902/145:table1:13,6529,5988,1.016,34.49,0.14,34.49,0.14,0.51,34.49,0.14,0.51,34.49,0.14,0.51,34.54,0.13,0.61,2.401400540781544,-19.310000000000002,-19.875647244340946,35.055647244340946,102.59576848451992,79.06786279998258
