DM,PGC,Name,Inc,e_Inc,HRV,Wmx,e_Wmx,m21,e_m21,umag,rmag,W1mag,Reu,Rer,ReW1,Au,e_Au,Ar,e_Ar,AW1,e_AW1,Gu,Gr,Gw1,QSflag,QWflag,ALFALFA,ADHI,SimbadName,LEDA,_RA,_DE,_ivoid,Vls,Vcmb,f,DMbest,e_DMbest,DM-r,e_DM-r,RMS-r,DM-i,e_DM-i,RMS-i,DM-z,e_DM-z,RMS-z,DM-W1,e_DM-W1,RMS-W1,logW,M_W1,M_pred,residual_M,mu_tf,d_tf_mpc,d_catalog_mpc
*,2,UGC12889,52,4,5004,437,16,15.713,0.185,,,11.86,,,0.51,,,,,0.01,0.0,1.06,0.51,0.05,0,5,0,0,LEDA       2,LEDA,0.00684,47.2746,ivo://CDS.VizieR/J/ApJ/902/145:table1:1,5296,4726,1.013,34.24,0.29,,,,,,,,,,34.24,0.29,0.48,2.640481436970422,-22.380000000000003,-21.895228022706977,-0.48477197729302546,33.75522802270697,56.369684558662414,70.46930689671474
*,4,PGC000004,85,2,4458,154,5,16.688,0.076,17.57,15.91,16.06,0.25,0.21,0.27,0.81,0.12,0.36,0.06,0.01,0.0,0.79,0.34,0.01,5,4,1,1,LEDA       4,LEDA,0.01462,23.08753,ivo://CDS.VizieR/J/ApJ/902/145:table1:2,4706,4109,1.011,33.29,0.17,33.31,0.16,0.56,33.29,0.17,0.6,33.28,0.17,0.59,33.26,0.17,0.66,2.187520720836463,-17.23,-18.05185635133688,0.82185635133688,34.11185635133688,66.43107346041863,45.498806015004845
*,12,PGC000012,82,3,6548,400,19,16.071,0.185,,,13.6,,,0.25,,,,,0.05,0.01,1.24,0.71,0.07,0,5,0,1,LEDA      12,LEDA,0.03605,-6.374,ivo://CDS.VizieR/J/ApJ/902/145:table1:3,6685,6195,1.016,35.03,0.22,,,,,,,,,,35.03,0.22,0.48,2.6020599913279625,-21.43,-21.569222056857075,0.13922205685707567,35.16922205685707,108.10465904261666,101.39113857366799
*,16,PGC000016,65,4,5667,297,14,17.207,0.185,16.08,14.21,13.98,0.22,0.19,0.21,0.46,0.08,0.26,0.05,0.03,0.0,1.23,0.7,0.07,5,5,0,1,LEDA      16,LEDA,0.04699,-5.15886,ivo://CDS.VizieR/J/ApJ/902/145:table1:4,5809,5312,1.014,34.7,0.24,34.7,0.23,0.39,34.7,0.24,0.4,34.69,0.24,0.4,34.71,0.25,0.53,2.4727564493172123,-20.720000000000002,-20.472081504330752,-0.24791849566924995,34.45208150433075,77.69915591481058,87.09635899560818
*,55,UGC12898,80,3,4779,179,10,15.757,0.076,16.82,15.71,16.18,0.28,0.23,0.22,0.59,0.1,0.26,0.04,0.01,0.0,0.78,0.34,0.01,5,4,0,1,LEDA      55,LEDA,0.156,33.60058,ivo://CDS.VizieR/J/ApJ/902/145:table1:5,5052,4454,1.012,34.0,0.24,34.0,0.23,0.56,34.0,0.24,0.59,34.01,0.24,0.59,34.09,0.25,0.65,2.2528530309798933,-17.82,-18.60620100217889,0.7862010021788883,34.786201002178885,90.6233683801897,63.09573444801933
*,68,ESO538-017,57,4,7664,206,18,16.883,0.185,16.31,14.86,14.99,0.16,0.16,0.19,0.31,0.05,0.18,0.03,0.01,0.0,1.16,0.66,0.06,5,5,0,1,LEDA      68,LEDA,0.23072,-18.95911,ivo://CDS.VizieR/J/ApJ/902/145:table1:6,7740,7338,1.019,34.81,0.37,34.8,0.36,0.52,34.82,0.37,0.52,34.81,0.38,0.52,34.72,0.41,0.61,2.3138672203691533,-19.82,-19.12390639846968,-0.6960936015303218,34.11390639846968,66.49381942811075,91.62204901220007
*,76,UGC12901,68,4,6920,390,5,15.778,0.076,15.83,13.65,13.21,0.34,0.27,0.3,0.53,0.09,0.3,0.05,0.02,0.0,1.24,0.71,0.07,5,5,2,1,LEDA      76,LEDA,0.24556,28.91171,ivo://CDS.VizieR/J/ApJ/902/145:table1:8,7183,6583,1.017,34.73,0.16,34.73,0.16,0.35,34.73,0.16,0.39,34.74,0.16,0.4,34.77,0.15,0.48,2.591064607026499,-21.519999999999996,-21.475926221181176,-0.04407377881882013,34.68592622118118,86.53369414213613,88.30799004185613
*,102,IC5376,82,3,5048,427,7,15.411,0.076,15.81,13.45,12.85,0.43,0.33,0.33,1.04,0.19,0.61,0.11,0.04,0.01,1.24,0.71,0.07,5,5,1,1,LEDA     102,LEDA,0.33238,34.52568,ivo://CDS.VizieR/J/ApJ/902/145:table1:12,5323,4726,1.013,34.2,0.13,34.19,0.13,0.35,34.2,0.13,0.39,34.2,0.13,0.4,34.41,0.11,0.48,2.630427875025024,-21.35,-21.809923549711844,0.45992354971184213,34.65992354971184,85.50366093726193,69.18309709189373
*,124,UGC12913,86,2,6350,252,6,15.782,0.076,17.23,15.26,15.18,0.29,0.31,0.32,0.98,0.16,0.48,0.08,0.01,0.0,0.88,0.42,0.02,5,5,1,1,LEDA     124,LEDA,0.4029,3.50559,ivo://CDS.VizieR/J/ApJ/902/145:table1:13,6529,5988,1.016,34.49,0.14,34.49,0.14,0.51,34.49,0.14,0.51,34.49,0.14,0.51,34.54,0.13,0.61,2.401400540781544,-19.310000000000002,-19.86662662119745,0.5566266211974487,35.04662662119745,102.17045424535024,79.06786279998258
*,146,UGC12916,50,4,6360,162,5,16.716,0.076,16.8,15.22,15.43,0.24,0.21,0.24,0.19,0.04,0.1,0.02,0.0,0.0,0.99,0.52,0.03,4,4,1,1,LEDA     146,LEDA,0.51367,17.57389,ivo://CDS.VizieR/J/ApJ/902/145:table1:15,6590,6004,1.016,34.39,0.27,34.4,0.26,0.55,34.38,0.27,0.57,34.38,0.27,0.56,34.24,0.29,0.64,2.2095150145426308,-18.96,-18.238477933189642,-0.7215220668103584,33.66847793318964,54.16211146756822,75.50922276654342
